ADA Code,Dentist Description,Patient Friendly Description,Procedure Categories for Wizard setup for Dentists,Categories for patient price comparison (Phase 2)
D5740,Reline maxil partial-chairside,Resurface the tissue side of a partial upper denture in the office,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5741,Reline mand partial-chairside,Resurface the tissue side of a partial lower denture in the office,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5750,Reline complete maxillary (lab),Resurface the tissue side of a complete upper denture–sent to a lab,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5751,Reline complete mand (lab),Resurface the tissue side of a complete lower denture–sent to a lab,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5760,Reline maxillary partial (lab),Resurface the tissue side of a partial upper denture–sent to a lab,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5761,Reline mandibular partial (lab),Resurface the tissue side of a partial lower denture–sent to a lab,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5810,Interim comp denture (maxil),Temporary complete dentures upper jaw,Complete Dentures,REMOVABLE APPLIANCES
D5811,Interim comp denture (mand),Temporary complete dentures lower jaw,Complete Dentures,REMOVABLE APPLIANCES
D5820,Interim partial denture (maxil),Temporary partial dentures upper jaw,Partial Dentures,REMOVABLE APPLIANCES
D5821,Interim partial denture (mand),Temporary partial dentures lower jaw,Partial Dentures,REMOVABLE APPLIANCES
D5850,"Tissue condition, maxillary",Gum tissue conditioner upper jaw,Denture Repair/Rebase,
D5851,"Tissue condition, mandibular",Gum tissue conditioner lower jaw,Denture Repair/Rebase,
D5860,"Overdenture-complete, B/R",Complete Overdenture,Overdentures,REMOVABLE APPLIANCES
D5861,"Overdenture-partial, by report",Partial overdentures,Overdentures,REMOVABLE APPLIANCES
D5862,"Precision attachment, B/R",Precision partial denture attachment,,
D5863,Overdenture - Complete Max,Complete overdenture upper jaw,Overdentures,REMOVABLE APPLIANCES
D5864,Overdenture - Partial Max,Partial overdenture upper jaw,Overdentures,REMOVABLE APPLIANCES
D5865,Overdenture - Complete Mand,Complete overdenture lower jaw,Overdentures,REMOVABLE APPLIANCES
D5866,Overdenture - Partial Mand,Partial overdenture lower jaw,Overdentures,REMOVABLE APPLIANCES
D5867,Replcmt prec attachmt-part/full,Replacement of part of an attachment component for dentures,Denture Repair/Rebase,REMOVABLE APPLIANCES
D5875,Mod of remvble prosth-post surg,Modification of dentures following surgery,Denture Repair/Rebase,
D5899,"Unspecified remove prosth, B/R",Additional denture procedure,Denture Repair/Rebase,
D5911,Facial moulage (sectional),A model or impression of the face ,,
D5912,Facial moulage (complete),A model or impression of the face,,
D5913,Nasal prosthesis,Artificial nose,,
D5914,Auricular prosthesis,Artificial ear,,
D5915,Orbital prosthesis,"Artificial eye, eyelids, and adjacent areas",,
D5916,Ocular prosthesis,Artificial eye,,
D5919,Facial prosthesis,Artificial Portion of the face,,
D5922,Nasal septal prosthesis,Nasal Septum prosthesis,,
D5923,"Ocular prosthesis, interim",Temporary artificial eye,,
D5924,Cranial prosthesis,Artificial portion of the skull bone,,
D5925,"Facial augmentat implant,prosth",Facial implant of material on a bony area beneath the skin,,
D5926,"Nasal prosthesis, replacement",Artificial nose replacement,,
D5927,"Auricular prosthesis,replacemen",Artificial ear replacement,,
D5928,"Orbital prosthesis, replacement","Artificial eye, eyelids, and adjacent areas replacemetn",,
D5929,"Facial prosthesis, replacement",Artificial Portion of the face replacement,,
D5931,"Obturator prosthesis, surgical",Prosthesis to close a defect,,
D5932,"Obturator prosthesis,definitive",Prosthesis to close a defect,,
D5933,"Obturator prosthesis, modificat",Prosthesis to close a defect repair,,
D5934,Mandibular resection w/ flange,Prosthesis for guiding the lower jaw to the upper jaw,,
D5935,Mandibular resection w/o flange,Prosthesis for guiding the lower jaw to the upper jaw,,
D5936,"Obturator prosthesis, interim",Prosthesis for initial healing for a missing area of the palate,,
D5937,Trismus appliance (not TMD),Prosthesis to assist in opening the mouth wide enough to eat and maintain oral health,,
D5951,Feeding aid,Feeding aid,,
D5952,"Speech aid prosthesis,pediatric",Temporary prosthesis to close a defect in the roof of the mouth child,,
D5953,"Speech aid prosthesis, adult",Prosthesis to close a defect in the roof of the mouth adult,,
D5954,Palatal augmentation prosthesis,Removable prosthesis to alter the palate`s form adjacent to the tongue,,
D5955,"Palatal lift prosth, definitive",Prosthesis to assist in restoring palate function,,
D5958,"Palatal lift prosthesis,interim",Interim Prosthesis to assist in restoring palate function,,
D5959,"Palatal lift prosth, modificat",Prosthesis modification to assist in restoring palate function,,
D5960,"Speech aid prosth, modification",Modification to a speech aid prosthesis,,
D5982,Surgical stent,Stent to soft tissues to facilitate healing,,
D5983,Radiation carrier,Device used to holding the radiation source securely in the same location,,
D5984,Radiation shield,Prosthesis to shield adjacent tissues from radiation,,
D5985,Radiation cone locator,Prosthesis to direct and reduplicate the path of radiation to an oral tumor,,
D5986,Fluoride gel carrier,Custom carrier appliance to apply fluoride close to teeth for extended time,,
D5987,Commissure splint,Device placed between the lips to assist in increased opening between the lips,,
D5988,Surgical splint,Device that uses existing bony structures to anchor broken bones during healing,,
D5991,Topical medicament carrier,A custom fabricated carrier that covers the teeth and/or gums to deliver medication,,
D5992,"Adj Max'facial Prosth, Report",Adjustment to a maxillofacial prosthetic appliance,,
D5993,"Maint Max'facial Prosth, Report",Maintenance and cleaning of a maxillofacial prosthesis,,
D5994,Periodontal medicament carrier,Periodontal medicament carrier,,
D5999,Unspec maxillofacial prosth B/R,Unspec maxillofacial prosth B/R,,
IMPLANTS AND FIXED PROSTHODONTICS,,IMPLANTS AND FIXED PROSTHODONTICS,,
D6010,Surg place implant: endosteal,Implant placement,Implant Placement,IMPLANTS
D6011,Second stage implant surgery,Additional surgery for implant,Implant Placement,IMPLANTS
D6012,Plcmnt of intrm impl: endosteal,Placement of temporary implant,Implant Placement,IMPLANTS
D6013,Placement of mini implant,Mini Implant placement,Implant Placement,IMPLANTS
D6020,Abut place/subst:endost implant,Abutment placement/substitution for implant,Implant Abutment,IMPLANTS
D6040,Surgic place: eposteal implant,Surgical placement of an eposteal implant,Implant Placement,IMPLANTS
D6050,Surg place: transosteal implant,Surgical placement of a transosteal implant,Implant Placement,
D6051,Interim Abutment,Temporary Abutment,Implant Abutment,IMPLANTS
D6052,Semi-precision attchmt abutment,Semi-Precision attachment abutment,Implant Abutment,IMPLANTS
D6053,"Imp/abut remov,comp edent arch",Implant/abutment support for removable complete dentures,Implant Overdenture,IMPLANTS
D6054,"Imp/abut remov,part edent arch",Implant/abutment support for removable partial dentures,Implant Overdenture,IMPLANTS
D6055,Dent implant sup connecting bar,Implant supported bar,Implant Overdenture,IMPLANTS
D6056,Prefab abutment-incl placement,Prefabricated Abutment,Implant Abutment,IMPLANTS
D6057,Custom abutment-incl placement,Custom abutment,Implant Abutment,IMPLANTS
D6058,Abutment supported porc/cer crn,Porcelain implant crown,Implant Crown,IMPLANTS
D6059,Abtmt supp porc fused to hi-nob,Porcelain/Metal implant crown,Implant Crown,IMPLANTS
D6060,Abtmt supp porc fused-base metl,Porcelain/Metal implant crown,Implant Crown,IMPLANTS
D6061,Abtmt supp porc fused-mtl crown,Porcelain/Metal implant crown,Implant Crown,IMPLANTS
D6062,Abtmt supp cast mtl crown-hinob,Metal implant crown,Implant Crown,IMPLANTS
D6063,Abtmt supp cast mtl crown-base,Metal implant crown,Implant Crown,IMPLANTS
D6064,Abtmt supp cast mtl crown-noble,Metal implant crown,Implant Crown,IMPLANTS
D6065,Implant supp porc/cer crown,Porcelain implant crown,Implant Crown,IMPLANTS
D6066,Implant supp porc fused mtl crn,Porcelain/Metal implant crown,Implant Crown,IMPLANTS
D6067,Implant supported metal crown,Metal implant crown,Implant Crown,IMPLANTS
D6068,Abtmt supp ret for porc/cer FPD,Porcelain implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6069,Abut sup ret-porc fsd mtl FPDhn,Porcelain/metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6070,Abut sup ret-porc fsd mtl FPDbm,Porcelain/metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6071,Abut sup ret-porc fsd mtl FPDno,Porcelain/metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6072,Abut sup ret-cast mtl FPD-hinob,Metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6073,Abut sup ret-cast mtl FPD-base,Metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6074,Abut sup ret-cast mtl FPD-noble,Metal implant retainer for a fixed partial denture,Implant Abutment,IMPLANTS
D6075,Implant supp ret-ceramic FPD,"Ceramic retainer for a fixed partial denture, supported by an implant",Implant Abutment,IMPLANTS
D6076,Implnt supp ret-prc fuse mtlFPD,"Porcelain/metal retainer for a fixed partial denture, supported by an implant",Implant Abutment,IMPLANTS
D6077,Implant supp ret-cast metal FPD,"Metal retainer for a fixed partial denture, supported by an implant",Implant Abutment,IMPLANTS
D6078,Implnt/abut supp fxd comp edent,Fixed complete denture supported by implants or abutments on implants,Implant Overdenture,IMPLANTS
D6079,Implnt/abut supp fxd part edent,Fixed partial denture supported by implants or abutments on implants,Implant Overdenture,IMPLANTS
D6080,Implant maintenance procedures,Implant maintenance and cleaning,Cleaning,CLEANING
D6090,"Repair implant sup prosth, B/R",Repair of a prosthesis supported by an implant,Implant Repair,
D6091,Rpl attchmt imp/abt sup prosth,Replacement of an attachment piece for a prosthesis supported by an implant,Implant Repair,
D6092,Recement impl/abut sup crown,Recement a crown supported by an implant or an abutment on an implant,Implant Repair,
D6093,Recement impl/abut sup FPD,Recement a fixed partial denture supported by an implant,Implant Repair,
D6094,Abutment supp crown - titanium,Titanium Implant Crown,Implant Crown,IMPLANTS
D6095,"Repair implant abutment, B/R",Repair of implant abutment,Implant Repair,
D6100,"Implant removal, by report","Surgical removal of an implant, including report for insurance",Implant Debridement/Repair,
D6101,Debride Peri-Implant Defect,Debride Implant Defect,Implant Debridement/Repair,
D6102,Debride/Oss Peri-Implant Defect,Debride Implant Defect,Implant Debridement/Repair,
D6103,Bone Graft Rep Peri-Imp Defect,Bone Graft For Implant Defect,Implant Debridement/Repair,
D6104,"Bone Graft, Implant Placement",Bone Graft during implant placement,Implant Placement,
D6190,Radiograph/surg impl index B/R,Appliance used with x-rays for treatment planning implants,Implant Stent,IMPLANTS
D6194,Abut sup ret-cast mtl FPD-titan,Titanium implant retainer for a fixed partial denture,Implant Abutment,
D6199,"Unspecified implant proced, B/R",Additional implant procedure,,
D6205,Pontic-indirect res based comp,Replacement tooth – indirect resin-based composite,Bridges,CROWN
D6210,Pontic-cast high noble metal,Replacement tooth – cast high noble metal,Bridges,CROWN
D6211,Pontic-cast predominantly base,Replacement tooth – cast predominantly base metal,Bridges,CROWN
D6212,Pontic-cast noble metal,Replacement tooth – cast noble metal,Bridges,CROWN
D6214,Pontic-titanium,Replacement tooth – titanium,Bridges,CROWN
D6240,Pontic-porcelain fused to hnob,Replacement tooth – porcelain fused to high noble metal,Bridges,CROWN
D6241,Pontic-porcelain fused to base,Replacement tooth – porcelain fused to predominantly base metal,Bridges,CROWN
D6242,Pontic-porcelain fused to nobl,Replacement tooth – porcelain fused to noble metal,Bridges,CROWN
D6245,Pontic-porcelain/ceramic,Replacement tooth – porcelain/ceramic,Bridges,CROWN
D6250,Pontic-resin w/ high noble met,Replacement tooth – resin with high noble metal,Bridges,CROWN
D6251,Pontic-resin w/ predomnt base,Replacement tooth – resin with predominantly base metal,Bridges,CROWN
D6252,Pontic-resin with noble metal,Replacement tooth – resin with noble metal,Bridges,CROWN
D6253,Provisional pontic,Temporary replacement tooth,Bridges,CROWN
D6254,Interim Pontic,Temporary replacement tooth until treatment can be completed,Bridges,CROWN
D6545,Retainer-cast for resin bonded,Cast retainer for resin bonded ,,
D6548,Ret-porc/cer-resin bnd fxd pros,Porcelain/ceramic retainer to support resin bonded replacement teeth,,
D6600,"Inlay-porcelain/ceramic, 2 surf","Inlay retainer to support replacement teeth – porcelain/ceramic, two surfaces",Bridges,CROWN
D6601,"Inlay-porcelain/ceramic, 3+surf","Inlay retainer to support replacement teeth – porcelain/ceramic, three or more surfaces",Bridges,CROWN
D6602,"Inlay-cast high noble met,2surf","Inlay retainer to support replacement teeth – cast high noble metal, two surfaces",Bridges,CROWN
D6603,"Inlay-cast high nob met, 3+surf","Inlay retainer to support replacement teeth – cast high noble metal, three or more surfaces",Bridges,CROWN
D6604,"Inlay-cast predomnt base, 2surf","Inlay retainer to support replacement teeth – cast predominantly base metal, two surfaces",Bridges,CROWN
D6605,"Inlay-cast predomnt base,3+surf","Inlay retainer to support replacement teeth – cast predominantly base metal, three or more surfaces",Bridges,CROWN
D6606,"Inlay-cast noble metal, 2 surf","Inlay retainer to support replacement teeth – cast noble metal, two surfaces",Bridges,CROWN
D6607,"Inlay-cast noble metal, 3+ surf","Inlay retainer to support replacement teeth – cast noble metal, three or more surfaces",Bridges,CROWN
D6608,"Onlay-porcelain/ceramic, 2 surf","Onlay retainer to support replacement teeth – porcelain/ceramic, two surfaces",Bridges,CROWN
D6609,"Onlay-porcelain/ceramic, 3+surf","Onlay retainer to support replacement teeth – porcelain/ceramic, three or more surfaces",Bridges,CROWN
D6610,"Onlay-cast high noble met,2surf","Onlay retainer to support replacement teeth – cast high noble metal, two surfaces",Bridges,CROWN
D6611,"Onlay-cast high nob met, 3+surf","Onlay retainer to support replacement teeth – cast high noble metal, three or more surfaces",Bridges,CROWN
D6612,"Onlay-cast predomnt base, 2surf","Onlay retainer to support replacement teeth – cast predominantly base metal, two surfaces",Bridges,CROWN
D6613,"Onlay-cast predomnt base,3+surf","Onlay retainer to support replacement teeth – cast predominantly base metal, three or more surfaces",Bridges,CROWN
D6614,"Onlay-cast noble metal, 2 surf","Onlay retainer to support replacement teeth – cast noble metal, two surfaces",Bridges,CROWN
D6615,"Onlay-cast noble metal, 3+ surf","Onlay retainer to support replacement teeth – cast noble metal, three or more surfaces",Bridges,CROWN
D6624,Inlay-titanium,Inlay retainer to support replacement teeth – titanium,Bridges,CROWN
D6634,Onlay-titanium,Onlay retainer to support replacement teeth – titanium,Bridges,CROWN
D6710,Retainer crn-indir res-bas comp,Cast metal retainer to support resin bonded replacement teeth,Bridges,CROWN
D6720,Retainer crn-res w/ hi nob met,Crown retainer to support replacement teeth – resin with high noble metal,Bridges,CROWN
D6721,Retainer crn-resin w/ base met,Crown retainer to support replacement teeth – resin with predominantly base metal,Bridges,CROWN
D6722,Retainer crn-resin w/ nob met,Crown retainer to support replacement teeth – resin with noble metal,Bridges,CROWN
D6740,Crown-porcelain/ceramic,Crown retainer to support replacement teeth – porcelain/ceramic,Bridges,CROWN
D6750,Retainer crn-porc fused-hi nob,Crown retainer to support replacement teeth – porcelain fused to high noble metal,Bridges,CROWN
D6751,Retainer crn-porc fuse-base met,Crown retainer to support replacement teeth – porcelain fused to predominantly base metal,Bridges,CROWN
D6752,Retainer crn-porc fused-nob met,Crown retainer to support replacement teeth – porcelain fused to noble metal,Bridges,CROWN
D6780,Retainer crn-3/4 cast h nob met,Crown retainer to support replacement teeth – 3/4 cast high noble metal,Bridges,CROWN
D6781,Crown-3/4 cast most base metal,Crown retainer to support replacement teeth – 3/4 cast predominantly base metal,Bridges,CROWN
D6782,Crown-3/4 cast noble metal,Crown retainer to support replacement teeth – 3/4 cast noble metal,Bridges,CROWN
D6783,Crown-3/4 porcelain/ceramic,Crown retainer to support replacement teeth – 3/4 porcelain/ceramic,Bridges,CROWN
D6790,Retainer crn-full cast hi nob,Crown retainer to support replacement teeth – full cast high noble metal,Bridges,CROWN
D6791,Retainer crn-full cast base,Crown retainer to support replacement teeth – full cast predominantly base metal,Bridges,CROWN
D6792,Retainer crn-full cast nob met,Crown retainer to support replacement teeth – full cast noble metal,Bridges,CROWN
D6793,Provisional retainer crown,Temporary crown retainer to support replacement teeth,Bridges,CROWN
D6794,Retainer crown-titanium,Crown retainer to support replacement teeth – titanium,Bridges,CROWN
D6795,Interim Retainer Crown,Temporary retainer for replacement teeth until treatment can be completed,Bridges,CROWN
D6920,Connector bar,Connector bar attached to a fixed partial denture retainer to add removable replacement teeth,Bridges,CROWN
D6930,Recement fixed partial denture,Recement a fixed partial denture,Bridges,CROWN
D6940,Stress breaker,Flexible connector bar,,
D6950,Precision attachment,Attachment to a removable partial denture to help abutments support replacement teeth,,
D6970,"Cast post/core, + brdg retainer","Post and core in addition to a fixed partial denture retainer, indirectly fabricated",Build Up/Post/Core,CROWN
D6971,Cast post/part of brdg retainer,"Post and core part of fixed partial denture retainer, indirectly fabricated",Build Up/Post/Core,CROWN
D6972,Prefab post/core+ brdg retainer,"Post and core in addition to a fixed partial denture retainer, pre-fabricated",Build Up/Post/Core,CROWN
D6973,"Core buildup for retain,inc pin",Tooth Buildup,Build Up/Post/Core,CROWN
D6975,Coping-metal,Metal covering of the remaining portion of a tooth as part of a fixed partial denture,,
D6976,Each add'l cast post-same tooth,"Additional post for a fixed partial denture retainer, indirectly fabricated",Build Up/Post/Core,CROWN
D6977,Each + prefab post-same tooth,"Additional post for a fixed partial denture retainer, pre-fabricated",Build Up/Post/Core,CROWN
D6980,"Fixed partial dent. repair, B/R",Repair of a fixed partial denture,,
D6985,"Pediatric part'l denture, fixed",Fixed partial denture for a child,,
D6999,"Unspec fixed prosth proced, B/R",Additional fixed partial denture procedure,,
ORAL SURGERY,ORAL SURGERY,ORAL SURGERY,,
D7110,Extraction-single tooth,Extraction- single tooth,Extraction,ORAL SURGERY
D7111,Extraction crnl remnts-decid th,Extraction of tooth remnants- baby teeth,Extraction,ORAL SURGERY
D7120,Extraction-each additional,Extraction- each additional,Extraction,ORAL SURGERY
D7130,Root removal-exposed root,Extraction - Root,Extraction,ORAL SURGERY
D7140,"Extract,erupted th/exposed rt",Non-surgical removal of a tooth,Extraction,ORAL SURGERY
D7210,Extraction-surgical/erupt tooth,Surgical remvoal of a tooth to include,Extraction,ORAL SURGERY
D7220,Extraction-impacted/soft tis,Surgical removal of a tooth that is covered by the surrounding gums,Extraction,ORAL SURGERY
D7230,Extraction-impacted/part bony,Surgical removal of a tooth that is covered by the surrounding gums and partially covered by bone,Extraction,ORAL SURGERY
D7240,Extraction-impacted/compl bony,Surgical removal of a tooth that is covered by the surrounding gums and completely covered by bone,Extraction,ORAL SURGERY
D7241,Remov impact-comp bony w/ comp,Surgical removal of a tooth that is covered by the surrounding gums and completely covered by bone,Extraction,ORAL SURGERY
D7250,Surgic removl resid tooth root,Surgical removal of a removed tooth`s remaining roots,Extraction,ORAL SURGERY
D7251,Coronectomy-part tooth removal,Removal of part of an impacted tooth because of complications,Extraction,ORAL SURGERY
D7260,Oral antral fistula closure,Closure of an abnormal opening between the mouth and sinus,,
D7261,Prim closure sinus perforation,Closure of a sinus opening resulting from removal of a tooth,,
D7270,Reimplantation/stabilization,Reimplantation and/or stabilization of a tooth that was knocked out or loosened due to an accident,,
D7272,Tooth transplantation,"Placement of a tooth in a new location, including stabilization",,
D7280,Surgical access unreupted tooth,Surgical method to expose a covered tooth so it can grow in normally,,
D7281,Expos impact/unerupt-aid erupt,Exposure of unerupted tooth to aid in eruption,,
D7282,Mobiliz erupt/malpos th-erupt,Movement of a tooth for better position and growth,,
D7283,Plcmnt of devc fo facil erup th,Placement of a bracket or band to help a covered tooth to grow in normally,,
D7285,Biopsy of oral tissue-hard,Taking a very small sample from a tooth or bone for a biopsy,,ORAL SURGERY
D7286,Biopsy of oral tissue-soft,Taking a very small sample of gum tissue or other mouth tissue for a biopsy,,ORAL SURGERY
D7287,Exfoliative cyt sample collectn,Mild scraping of the inside of the mouth for evaluation,,ORAL SURGERY
D7288,Brush biopsy-transepith sample,Brushing the inside of the mouth to get a sample for biopsy,,ORAL SURGERY
D7290,Surgical reposition of teeth,Surgical repositioning of teeth,,
D7291,"T/SC Fiberotomy, B/R",Surgical removal of unhealthy gum tissue that allows healthy gum tissue to replace it,,
D7292,Plcmnt: temp anch scrw rtnd plt,Surgical placement of a temporary plate that is attached to the bone,,
D7293,Plcmnt: temp anch w/ surg flap,Surgical placement of a temporary device for bone stability using part of the mouth tissue to hold it in place,,
D7294,Plcmnt: temp anch w/o surg flap,Surgical placement of a temporary device for bone stability,,
D7295,Bone Harvest for Grafting,Harvesting of bone for grafting,,
D7310,Alveoloplasty w/ extract- /quad,Surgical Bone Recontouring,,ORAL SURGERY
D7311,Alveoloplasty w/ext 1-3 th/quad,Surgical Bone Recontouring,,ORAL SURGERY
D7320,Alveoloplasty w/o extract /quad,Surgical Bone Recontouring ,,ORAL SURGERY
D7321,Alveoloplsty w/o ex 1-3 th/quad,Surgical Bone Recontouring,,ORAL SURGERY
D7340,Vestibuloplasty-ridge ext -2nd,Surgery to heighten the bone around a tooth,Bone Augmentation,ORAL SURGERY
D7350,Vestiplasty-ridge ext (inc),Extensive surgery to heighten the bone around a tooth,Bone Augmentation,ORAL SURGERY
D7410,Excision benign lesion<=1.25cm,Surgical removal of a small benign lesion in the soft tissue of the mouth,,
D7411,Excision benign lesion>1.25 cm,Surgical removal of a benign lesion over 1.25 cm in the soft tissue of the mouth,,
D7412,"Excision benign lesion,complic",Complicated surgical removal of a benign lesion in the soft tissue of the mouth,,
D7413,Excision malig lesion<=1.25cm,Surgical removal of a small malignant lesion in the soft tissue of the mouth,,
D7414,Excision malig lesion>1.25cm,Surgical removal of a malignant lesion over 1.25 cm in the soft tissue of the mouth,,
D7415,"Excision malig lesion,complic",Complicated surgical removal of a malignant lesion in the soft tissue of the mouth,,
D7420,Radical excis-diam > 1.25 cm,Radical excis-diam > 1.25 cm,,
D7430,Ex benign tumor-diam <= 1.25cm,Ex benign tumor-diam <= 1.25cm,,
D7431,Ex benign tumor-diam > 1.25 cm,Ex benign tumor-diam > 1.25 cm,,
D7440,Ex malig tumor-diam <= 1.25 cm,Surgical removal of a small malignant tumor in the bony areas of the mouth,,
D7441,Ex malig tumor-diam > 1.25 cm,Surgical removal of a malignant tumor over 1.25 cm in the bony areas of the mouth,,
D7450,Rem benign odont-diam<=1.25cm,Surgical removal of a small benign cyst or tumor in the bony areas of the mouth resulting from tooth development,,
D7451,Rem benign odont-diam>1.25 cm,Surgical removal of a benign cyst or tumor over 1.25 cm in the bony areas of the mouth resulting from tooth development,,
D7460,Rem benign nonodont-di<=1.25cm,Surgical removal of a small benign cyst or tumor in the bony areas of the mouth,,
D7461,Rem benign nonodont-diam>1.25cm,Surgical removal of a benign cyst or tumor over 1.25 cm in the bony areas of the mouth,,
D7465,Destruct lesion-phys/chem B/R,Destruction of lesions,,
D7470,Rem exostosis-maxilla/mandible,Removal of extra bone in the jaw- upper/lower jaw,,ORAL SURGERY
D7471,Removal of exostosis-per site,Surgical removal of a bony growth from bone tissue,,ORAL SURGERY
D7472,Removal of torus palatinus,Surgical removal of a bulging projection of bone from the roof of the mouth,,
D7473,Removal of torus mandibularis,Surgical removal of a bulging projection of bone from the lower part of the mouth under the tongue,,
D7480,Part ostectomy(guttering/sauc),Part ostectomy(guttering/sauc),,
D7485,"Surg reduc, osseous tuberosity",Surgical removal of excessive fibrous or bony tissue,,
D7490,Rad resectn-maxilla or mandible,Surgical removal of lesion and defect leaving some normal appearing bone,,
D7510,Incis&drain abscess-intra soft,Draining an abscess in the soft tissue of the mouth,Emergency Pain Relief,
D7511,Incis&drain abscs-int soft comp,Complicated draining of an abscess in the soft tissue of the mouth,,
D7520,Incis&drain abscess-extra soft,Draining an abscess in the soft tissue of the mouth from the outside (face),,
D7521,Incis&drain abscs-ext soft comp,Complicated draining an abscess in the soft tissue of the mouth from the outside (face),,
D7530,Remove foreign body from tissue,Removal of a foreign body from the soft tissue of the mouth or skin,,
D7540,Remove foreign body from bone,Removal of a reaction producing foreign body from muscle and/or bone,,
D7550,Partial ostect/sequestrectomy,Removal of loose or sloughed-off dead bone caused by infection or reduced blood supply,,
D7560,Maxill sinusotomy-rem foreign,Removal of a tooth fragment or foreign body in the sinus area of the mouth,,
D7610,Maxilla-open red (teeth immob),"Wiring, banding or splinting of teeth to prevent movement to treat a simple fracture of the upper jaw, involves minor surgery",,
D7620,Maxilla-closed red(teeth immob),"Wiring, banding or splinting of teeth to prevent movement to treat a simple fracture of the upper jaw",,
D7630,Mandible-open red (teeth immob),"Wiring, banding or splinting of teeth to prevent movement to treat a simple fracture of the lower jaw, involves minor surgery",,
D7640,Mandible-closed red (th immob),"Wiring, banding or splinting of teeth to prevent movement to treat a simple fracture of the lower jaw",,
D7650,Malar/zygomat arch-open reduc,Surgery to treat a simple fracture of the cheek bone,,
D7660,Malar/zygo arch-closed reduc,Treatment of a simple fracture of the cheek bone,,
D7670,Alveolus-closed reduction,"Treatment of a simple fracture–may involve wiring, banding or splinting of teeth to prevent movement",,
D7671,Alveolus-open reduction,"Surgical treatment of a simple fracture–may involve wiring, banding or splinting of teeth to prevent movement",,
D7680,Facial bone-complicated reduct,Treatment of simple fractures in facial bones,,
D7710,Maxilla-open reduction,"Wiring, banding or splinting of teeth to prevent movement to treat a compound fracture of the upper jaw, involves minor surgery",,
D7720,Maxilla-closed reduction,"Wiring, banding or splinting of teeth to prevent movement to treat a compound fracture of the upper jaw",,
D7730,Mandible-open reduction,"Wiring, banding or splinting of teeth to prevent movement to treat a compound fracture of the lower jaw, involves minor surgery",,
D7740,Mandible-closed reduction,"Wiring, banding or splinting of teeth to prevent movement to treat a compound fracture of the lower jaw",,
D7750,Malar/zygomatic arch-open red,Surgery to treat a compound fracture of the cheek bone,,
D7760,Malar/zygomatic arch-close red,Treatment of a compound fracture of the cheek bone,,
D7770,"Alveolus-stabilize teeth, open","Treatment of a compound fracture–may involve wiring, banding or splinting of teeth to prevent movement",,
D7771,"Alveolus-stabilize teeth,closed","Surgical treatment of a compound fracture–may involve wiring, banding or splinting of teeth to prevent movement",,
D7780,Facial bones-complicated reduc,Treatment of compound fractures in facial bones,,
D7810,Open reduction of dislocation,Surgery to treat a dislocated temporomandibular joint (TMJ),,
D7820,Closed reduction of dislocate,Treatment for a dislocated temporomandibular joint (TMJ),,
D7830,Manipulation under anesthesia,Manipulation of the temporomandibular joint (TMJ) under general anesthesia or intravenous sedation,,
D7840,Condylectomy,Surgical removal of part of the mandibular bone for treatment of TMJ dysfunction,,
D7850,Surgical discect:w/ w/o implant,Surgical removal of a disc for treatment of TMJ dysfunction,,
D7852,Disc repair,Repair of a disc for treatment of TMJ dysfunction,,
D7854,Synovectomy,Removal of a portion or all of the lining of ligaments of the TMJ,,
D7856,Myotomy,Cutting of muscle around the temporomandibular joint (TMJ) for therapeutic purposes,,
D7858,Joint reconstruction,Reconstruction of a temporomandibular joint,,
D7860,Arthrotomy,Cutting into a temporomandibular joint as part of treatment to manage TMJ dysfunction,,
D7865,Arthroplasty,Surgical correction of an abnormality in a temporomandibular joint (TMJ),,
D7870,Arthrocentesis,Withdrawal of fluid from a temporomandibular joint (TMJ),,
D7871,Non-arthroscopic lysis & lavage,Irrigation of a temporomandibular joint (TMJ),,
D7872,"Arthroscopy-diag, w/ w/o biopsy",Use of a scope to view the inside of a temporomandibular joint for diagnosis,,
D7873,Arthroscopy-surgical: adhesions,Use of a scope to view the inside of a temporomandibular joint for irrigation,,
D7874,Arthroscopy-surgical: disc rep,Use of a scope to view the inside of a temporomandibular joint while repositioning and stabilizing the disc,,
D7875,Arthroscopy-surgic: synovectomy,Use of a scope to view the inside of a temporomandibular joint for removal of a portion or all of the lining of ligaments,,
D7876,Arthroscopy-surgical:discectomy,Use of a scope to view the inside of a temporomandibular joint to remove the disc,,
D7877,Arthroscopy-surgic: debridement,Use of a scope to view the inside of a temporomandibular joint to remove diseased tissue,,
D7880,Occlusal orthotic device,Use of splints for treatment of temporomandibular joint (TMJ) dysfunction,,
